article,name,price,category_id,description,image_url,is_active
00097,Руны хамелеоны - два цвета - 27 шт.,9500.00,1,Набор из 27 рун с эффектом хамелеона,"https://sun9-88.vkuserphoto.ru/s/v1/ig2/8VfT_0DxBr5TEdFdhCdxoHWBCAslcGth6usAXHubM7SWqekk2ySc9-KnG06TzKayITiyGTZg6r-VzLN3gUSShDkG.jpg?quality=95&as=32x14,48x22,72x32,108x49,160x72,240x108,360x162,480x216,540x243,640x287,720x323,1080x485,1280x575,1440x647,2560x1150&from=bu&u=YIVTkwb74yH7uctrBcqITCpTvXuY5eCr2ZZNOS0wLhY&cs=1280x0",true
00098,Руны карамельки - Серый+Красный - 27 шт.,8000.00,1,Набор из 27 рун в карамельных цветах,"https://sun9-16.vkuserphoto.ru/s/v1/ig2/V84HYQ9l07w2Mx3ik3fMgv2b5AHBdjDFPXErRwW2ll1RohM7q8SVSuwm_g8julS09Rw5O4HjKb6axiIvTcwu7R2F.jpg?quality=95&as=32x14,48x22,72x32,108x49,160x72,240x108,360x162,480x216,540x243,640x287,720x323,1080x485,1280x575,1440x647,2560x1150&from=bu&cs=1280x0",true
00099,Руны Споры грибов - 27 шт.,10000.00,1,Набор из 27 рун с дизайном споры грибов,"https://sun9-10.vkuserphoto.ru/s/v1/ig2/bcN4LKqk7IqmHcwhNRdpOptb8ZFsTOpp21vxP-i0r8uUIB95ATFCabhjDVratTo_6Vkm19pRyJ-vfVsYcQLs1Q5C.jpg?quality=95&as=32x14,48x22,72x32,108x49,160x72,240x108,360x162,480x216,540x243,640x287,720x323,1080x485,1280x575,1440x647,2560x1150&from=bu&cs=2560x0",true
01001,Шахматный набор из эпоксидной смолы,50000.00,7,Полный шахматный набор ручной работы,"https://sun9-52.vkuserphoto.ru/s/v1/ig2/TBLfuZcH61GUr3wq_IVH991VXgoaMGAbvdPE6tU7vxB3sVs8jbL4Yss1Lrfd3r_YltVuoQZyYdmEkt9aeTATcj6u.jpg?quality=95&as=32x72,48x107,72x161,108x241,160x358,240x537,360x805,480x1073,540x1207,640x1431,720x1610,1080x2415,1145x2560&from=bu&u=MR1z_qugXKLxD1embpdNUetU7-EO_CmzptYBOj98KMU&cs=540x0",true
10000,Фетровый брелок с минималистичным дизайном,700.00,2,Минималистичный фетровый брелок,"https://sun9-1.vkuserphoto.ru/s/v1/ig2/KhNcrQvDkma_yglKo4qntjFVnrVmEXniVcif1dirCaB74Sz6fdxA8NXsfUFLU7m8QQUUqI2Yv_qjBRDXU8uJ4M0O.jpg?quality=95&as=32x64,48x96,72x144,108x216,160x320,240x480,360x720,480x960,540x1080,640x1280,720x1440,1080x2160&from=bu&u=XsPpOgIXpw6hvLqZ81DPolIE5VveOLJuA-IADCThf2M&cs=1080x0",true
10001,Фетровый брелок Twenty One Pilots,700.00,2,Брелок в стиле Twenty One Pilots,"https://sun9-55.vkuserphoto.ru/s/v1/ig2/wVTRYOFiOLQ6fSZ_lEy2zqHhpRD3dadFNZOs7QF1IqRhV4i5vK-caQEt8nXjXxzTojyZftlTDa_TYro_NusgVP6l.jpg?quality=95&as=32x32,48x48,72x72,108x108,160x160,240x239,360x359,480x479,540x539,640x638,720x718,1080x1077,1280x1277,1440x1437,2080x2075&from=bu&u=y-3LjhWPjfhUVymHqXRuG-MW38Eugogs4Ygfc-AdVUM&cs=1280x0",true
10002,Лягушонок - Фетровый брелок,700.00,2,Милый фетровый брелок лягушонок,"https://sun9-35.vkuserphoto.ru/s/v1/ig2/bViXKwyV_WKLiyZG10MBCBYZSXbTUGYaucwGHtbasxEy-Bbz6nBbxXHKscNwM-P2m2vDOa2RevVx1MmHuS1v0V52.jpg?quality=95&as=32x32,48x48,72x72,108x108,160x160,240x240,360x359,480x479,540x539,640x639,720x719,1080x1078,1280x1278,1440x1437,2080x2076&from=bu&u=lSttwmmApLWEutmNrPEmaHPUHHlwwA0oFZHo1RTSfgI&cs=540x0",true
10003,I ❤ U - Фетровый брелок,700.00,2,Фетровый брелок с сердечком,"https://sun9-20.vkuserphoto.ru/s/v1/ig2/nG0uQ3890m6w2dPyOaOMqWkPCwv5bTtoLx3VrNgxKF00dUWE3mj70mK3MTMz9afKKhnyJtP2YqMbfZtJDE4gtuOY.jpg?quality=95&as=32x32,48x48,72x72,108x108,160x160,240x240,360x360,480x480,540x539,640x639,720x719,1080x1079,1280x1279,1440x1439,2080x2078&from=bu&u=6H1fjuD_34fJ1GEqI6IZMVggdg0zQB86w9VKYjEfHCQ&cs=540x0",true
10004,Котенок? - Фетровый брелок,700.00,2,Фетровый брелок котенок,"https://sun9-77.vkuserphoto.ru/s/v1/ig2/5jQ7fYO_1IGAoXYmgoy7s-y7pzJN_WDEUbX6gRjUj0byz5e_eWTVXtaebJHdzOyy6HiIEgpGcsbHzcwEv9jkCKuC.jpg?quality=95&as=32x32,48x48,72x72,108x108,160x160,240x240,360x359,480x479,540x539,640x639,720x719,1080x1078,1280x1278,1440x1437,2080x2076&from=bu&u=D9aGleRAz-Z026Ah0ocElkLwPxoGrSh2NNraCPArAqM&cs=540x0",true
10005,Небесное око - Фетровый брелок,700.00,2,Мистический фетровый брелок,"https://sun9-57.vkuserphoto.ru/s/v1/ig2/SJGZ0Kkw_FMCX5uVfUAOtTBNWziUrbXnEJQzzjBXD7QxyfNI27sZ8fCBuJ8X0OMg5ku-srBsnH8TQzJgAMJbVsbv.jpg?quality=95&as=32x32,48x48,72x72,108x108,160x160,240x239,360x359,480x479,540x539,640x638,720x718,1080x1077,1280x1277,1440x1437,2080x2075&from=bu&u=jLlPRVZ4THXvm0FL9Pv1r_f7rTzOqhPRstIoR4cQxcM&cs=540x0",true
